"","x"
"195",10306.7411415468
"196",10742.7656478712
"197",10800.0165126462
"198",10799.9564010366
"199",10800.8183805649
"200",10833.8265854165
"201",10800.062706912
"202",10800.0020313263
"203",10962.9803048254
"204",11002.5387020394
"205",10889.6755132572
"206",10499.9821456061
"207",9763.42181671989
"208",10910.5811160829
"209",11000.1401872141
"210",10999.9566706198
"211",10602.5203740296
"212",10400.0290209311
"213",10427.3026663321
"214",10594.8451444718
"215",10994.2948065722
"216",10677.2971549705
"217",11000.0239532188
"218",11000.1193837484
"219",10999.9854857127
"220",10999.9280023645
"221",11000.023474545
"222",11000.0027342196
"223",9965.07199270976
"224",9370.98461139822
"225",9199.93509913549
"226",10059.8900533606
"227",10500.0366918211
"228",10454.9374043562
"229",10499.7958048079
"230",10499.9593898774
"231",10093.9067358865
"232",9150.56393357969
"233",9174.45019580258
"234",9200.05296811702
"235",10499.7690519686
"236",10500.1366509049
"237",10500.007876707
"238",9382.30257991087
"239",9505.07422863996
"240",10100.002108256
"241",10387.1007992215
"242",10600.0563636073
"243",10600.0239250607
"244",10599.9792210049
"245",10385.2820745256
"246",9036.93264531737
"247",10019.6248281832
"248",9656.89750637045
"249",9152.94911498877
"250",11000.0529694875
"251",10999.2434166661
"252",11000.0290096848
"253",10999.8525542083
"254",10999.9772020948
"255",11000.1746999529
"256",11000.1005482144
"257",11016.8017925828
"258",11000.0270755768
"259",10999.9829735226
"260",10999.7697444916
"261",10999.9183978046
"262",11000.0944713479
"263",11000.0790462353
"264",10105.2445570556
"265",10579.4315224106
"266",10936.1010668903
"267",10997.1488156086
"268",10936.5933993105
"269",11008.4592414998
"270",10848.2064194276
"271",11000.4468056714
"272",10967.3353424072
"273",10999.9379203796
"274",10999.8236981568
"275",10995.6689629844
"276",10954.4872193937
"277",9887.62237555612
"278",10914.6931372325
"279",11000.0011969955
"280",10999.9278591156
"281",11000.0150069767
"282",11000.064304948
"283",10999.9679453814
"284",11000.0512487482
"285",10999.9257894445
"286",10620.0429828785
"287",10813.5098127506
"288",10999.4384770005
"289",10941.3344977788
"290",11000.0476851569
"291",11000.0529426009
"292",10999.9430325685
"293",11000.0619972794
"294",10999.363288837
"295",11000.0099120388
"296",9937.73888668363
"297",11000.1267773098
"298",11000.156390508
"299",11000.1015559698
"300",10999.9905318507
"301",11000.0754422082
"302",10999.8497864335
"303",11000.0500367059
"304",10999.9853396663
"305",11000.1560470864
"306",11000.0077445984
"307",10999.7867862419
"308",11000.0804195545
"309",11000.1418550562
"310",10999.9824325703
"311",10999.8901428194
"312",10999.8226751115
"313",10377.9964829692
"314",11000.2166343689
"315",10999.9451682338
"316",11000.200852161
"317",11280.7339211358
"318",11016.2242295442
"319",11000.0877426995
"320",10999.9541696478
"321",10999.8836365029
"322",10999.8312763355
"323",11000.1978668185
"324",11000.1488617367
"325",10999.8814449875
"326",10999.8920665317
"327",10910.8212256259
"328",10999.9964741177
"329",10999.8938677611
"330",10999.9862868415
"331",11000.0709123823
"332",11004.1698911314
"333",10999.9395222134
"334",11000.1084983543
"335",10999.9135348426
"336",10967.4966767805
"337",10999.9669707969
"338",10992.8109594275
"339",10999.92
"340",11000.44
"341",11000.03
"342",10744.22
"343",10999.74
"344",11000
"345",11000.19
"346",11047.4
"347",10999.83
"348",10998.16
"349",10944.2
"350",10998.83
"351",10999.99
"352",11000.02
"353",11006.41
"354",10741.12
"355",10882.9
"356",10905.68
"357",10366.73
"358",11079.01
"359",10392.26
"360",8503.98
"361",10999.77
"362",11001.83
"363",11000
"364",11000.11
"365",11003.71
"366",10999.43
"367",10990.69
"368",11000.86
"369",10985.82
"370",11008.3
"371",11009.73
"372",10985.25
"373",10974.01
"374",10985.2
"375",10967.05
"376",10967.98
"377",10916.55
"378",10851.8
"379",10962.62
"380",10366.57
"381",9111.14
"382",11021.76
"383",10908.48
"384",11000.01
"385",10952.19
"386",10985.68
"387",10983.96
"388",10999.98
"389",10999.9
"390",11003.57
"391",10999.61
"392",11002.98
"393",10999.92
"394",11000.05
"395",10999.98
"396",11000
"397",10944.13
"398",10997.9
"399",11008.42
"400",11007.48
"401",10903.4
"402",10895.34
"403",10892.21
"404",10878.67
"405",10552.23
"406",10868.94
"407",11000.13
"408",10999.94
"409",10999.91
"410",11000.14
"411",11000.1
"412",10962.54
"413",10999.94
"414",10999.93
"415",10999.88
"416",10993.03
"417",10999.83
"418",10999.98
"419",10610.33
"420",11000.23
"421",10999.79
"422",10999.88
"423",10999.91
"424",10999.95
"425",10999.95
"426",11000.1
"427",11000.16
"428",11000.11
"429",10999.98
"430",11000.06
"431",10999.95
"432",11000.07
"433",10999.82
"434",11000
"435",10999.87
"436",10999.98
"437",11000.05
"438",10999.98
"439",11000.28
"440",10940.68
"441",11000.03
"442",11000.02
"443",11000.27
"444",11000.05
"445",11000.03
"446",11000.02
"447",10999.9
"448",10999.85
"449",11000.02
"450",10999.97
"451",11000.17
"452",11000.07
"453",10921.56
"454",11000.03
"455",11000.02
"456",10999.97
"457",10619.88
"458",10636.29
"459",10999.73
"460",10999.86
"461",10999.83
"462",11000
"463",10999.92
"464",11000.12
"465",11004.21
"466",11000.13
"467",10999.95
"468",10999.87
"469",10999.92
"470",10999.88
"471",10999.22
"472",10999.82
"473",10999.96
"474",11000.03
"475",10999.81
"476",11000.1
"477",10999.95
"478",10999.69
"479",11000.04
"480",11000.28
"481",9077.34
"482",11000.2
"483",11000.01
"484",10999.97
"485",10999.91
"486",10999.99
"487",9709.85
"488",10999.76
"489",11000.13
"490",10631.99
"491",11000
"492",11000.04
"493",11000.02
"494",10999.8
"495",10999.96
"496",11000.04
"497",11000.04
"498",11000.01
"499",10999.96
"500",11000.1
"501",10999.91
"502",10999.98
"503",10999.95
"504",10925.51
"505",11000.14
"506",11000.02
"507",11000.17
"508",11000.01
"509",11000.03
"510",10999.94
"511",11000.05
"512",11000.12
"513",11000.84
"514",10999.76
"515",11000.32
"516",10999.87
"517",11000.06
"518",11000.02
"519",11000.04
"520",11011.94
"521",11026.14
"522",10597.84
"523",11001.18
"524",11000.37
"525",10991.17
"526",10999.89
"527",10999.99
"528",11000
"529",10995.38
"530",11000.21
"531",10980.61
"532",10968.25
"533",10990.03
"534",10977.76
"535",10999.23
"536",10999.38
"537",11000.07
"538",11000.07
"539",10999.88
"540",11019.59
"541",11002.51
"542",10999.76
"543",10999.78
"544",11001.05
"545",10999.72
"546",11000.52
"547",10995.4
"548",10992.76
"549",10999.74
"550",11000.12
"551",10999.38
"552",11000.49
"553",11000.19
"554",11000.19
"555",11000.2
"556",10999.48
"557",11000.1
"558",10999.45
"559",10999.37
"560",10993.42
"561",10991.7
"562",8495.27
"563",10999.82
"564",11000.05
"565",11010.87
"566",11002.31
"567",10995.7
"568",10996.16
"569",10454.26
"570",11001.01
"571",11000.03
"572",10999.95
"573",10710.62
"574",11015.7
"575",11025.98
"576",10998.75
"577",10597.31
"578",10999.39
"579",11000.38
"580",10999.95
"581",10880.93
"582",10999.81
"583",11000
"584",11000.17
"585",11000.11
"586",11000.08
"587",10998.84
"588",10989.5
"589",10999.58
"590",10999.74
"591",11000.08
"592",10989.19
"593",10999.97
"594",10999.86
"595",10746.81
"596",10996.45
"597",10999.7
"598",10985.16
"599",10968.33
"600",10934.76
"601",10875.56
"602",9219.97
"603",9534.32
"604",9936.75
"605",9987.98
"606",9999.98
"607",9999.99
"608",10000.1
"609",9999.92
"610",10000.05
"611",10000.03
"612",10000.25
"613",10234.21
"614",10249.94
"615",10249.86
"616",10250.03
"617",10274.96
"618",10250.11
"619",10250.29
"620",10249.81
"621",10249.82
"622",10250.27
"623",10250.14
"624",10249.88
"625",10250
"626",10249.9
"627",10249.92
"628",10250.05
"629",10250.06
"630",10024.32
"631",9843.04
"632",9683.59
"633",9849.97
"634",9849.82
"635",9850.46
"636",9849.87
"637",10054.03
"638",10210.58
"639",10249.93
"640",10250.06
"641",10249.92
"642",10247.98
"643",10249.84
"644",10030.14
"645",10256.9
"646",10249.54
"647",10233.86
"648",10249.8
"649",10250.06
"650",10238.19
"651",10249.9
"652",10249.81
"653",10250.1
"654",10249.93
"655",10250.06
"656",9624.73
"657",10250.05
"658",10274.55
"659",10266.74
"660",10300.14
"661",10299.7
"662",10299.63
"663",10300.67
"664",10300.25
"665",10300.19
"666",10300.07
"667",10299.85
"668",10310.52
